 ,group3 overt, group3 null, group4 overt, group4 null, group5 overt, group5 null, group6 overt, group6 null, group7 overt, group7 null, 
say,10,61,4,60,n/a,6,n/a,5,n/a,7
know,13,93,10,77,n/a,7,n/a,1,n/a,1
think,7,556,7,302,n/a,159,n/a,35,n/a,74
believe,n/a,2,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a
suggest,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a
find,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
show,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a
mean,1,13,n/a,16,n/a,1,n/a,n/a,n/a,1
see,n/a,26,1,17,n/a,5,n/a,n/a,n/a,1
realize,1,2,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a
note,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
argue,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
indicate,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
feel,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
understand,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
hope,n/a,2,1,3,1,3,n/a,1,n/a,n/a
report,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
state,n/a,n/a,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a
assume,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
agree,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
claim,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ensure,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
learn,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
remember,1,39,1,20,1,n/a,n/a,n/a,n/a,2
conclude,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
hear,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1
admit,n/a,1,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a
notice,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
decide,1,n/a,2,1,n/a,n/a,n/a,n/a,n/a,n/a
add,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
insist,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
recognize,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
tell,n/a,1,1,3,n/a,1,n/a,n/a,n/a,n/a
explain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
discover,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
reveal,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
prove,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
seem,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
acknowledge,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
announce,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
estimate,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
demonstrate,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
make,n/a,1,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a
write,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
mention,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
imply,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
appear,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
confirm,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
imagine,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
require,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
suspect,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
worry,2,1,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a
forget,n/a,2,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a
expect,n/a,2,n/a,3,n/a,n/a,n/a,n/a,n/a,n/a
demand,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
hold,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
determine,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
recommend,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a
complain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
assert,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
declare,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
fear,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
predict,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
warn,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
deny,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ask,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
accept,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
doubt,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
observe,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
contend,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
consider,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
maintain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
like,n/a,1,1,2,1,n/a,n/a,n/a,n/a,n/a
guess,n/a,20,n/a,7,n/a,n/a,n/a,1,n/a,n/a
read,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
wish,n/a,7,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a
rule,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
emphasize,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
propose,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
pretend,n/a,2,n/a,4,n/a,n/a,n/a,1,n/a,n/a
use,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
love,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
recall,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
pray,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
suppose,n/a,6,n/a,1,n/a,2,n/a,2,n/a,1
allege,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
testify,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
figure,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a
concede,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
let,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
stress,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
happen,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a
speculate,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
guarantee,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
call,n/a,n/a,3,n/a,n/a,n/a,n/a,n/a,n/a,n/a
convince,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
promise,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
assure,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
teach,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
want,n/a,2,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a
