 ,group0 overt, group0 null, group1 overt, group1 null, group2 overt, group2 null, group3 overt, group3 null, group4 overt, group4 null, group5 overt, group5 null, group6 overt, group6 null, group7 overt, group7 null, 
say,5,310,11,328,58,1470,35,780,40,709,6,183,n/a,15,10,165
know,24,333,20,356,96,878,64,538,60,712,10,154,n/a,14,16,150
think,34,965,50,1060,326,7036,165,2825,91,1896,12,306,n/a,39,18,260
believe,n/a,5,n/a,10,n/a,12,1,17,5,19,n/a,2,n/a,n/a,n/a,5
suggest,n/a,n/a,n/a,3,4,15,1,2,6,3,n/a,n/a,n/a,n/a,n/a,n/a
find,6,9,5,28,11,102,9,53,3,47,3,10,n/a,2,n/a,7
show,1,7,n/a,6,1,34,1,16,n/a,18,n/a,n/a,n/a,n/a,n/a,2
mean,n/a,87,n/a,28,9,274,6,121,10,167,1,28,n/a,3,1,44
see,9,274,7,321,30,852,19,439,13,409,6,121,n/a,8,4,65
realize,n/a,1,1,5,5,14,4,13,1,10,n/a,1,n/a,n/a,n/a,n/a
note,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
argue,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a
indicate,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
feel,n/a,21,7,10,5,25,3,14,2,15,2,7,n/a,n/a,n/a,4
understand,1,3,1,3,3,7,1,5,3,5,n/a,n/a,n/a,n/a,n/a,n/a
hope,n/a,10,1,26,5,120,7,77,9,77,1,12,n/a,3,n/a,16
report,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a
state,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
assume,2,n/a,1,n/a,n/a,1,n/a,n/a,2,n/a,n/a,2,n/a,n/a,n/a,n/a
agree,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
claim,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ensure,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
learn,n/a,1,3,1,n/a,n/a,2,2,1,1,1,1,n/a,n/a,2,1
remember,1,25,1,35,28,222,20,169,17,127,5,16,1,4,2,12
conclude,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
hear,2,61,1,48,15,116,5,75,4,85,n/a,18,n/a,2,n/a,11
admit,n/a,n/a,n/a,n/a,n/a,6,1,2,1,5,n/a,n/a,n/a,n/a,n/a,n/a
notice,2,3,1,2,4,6,n/a,7,7,8,n/a,n/a,n/a,n/a,1,1
decide,1,3,2,1,4,7,2,13,7,13,n/a,3,n/a,n/a,n/a,1
add,n/a,3,n/a,n/a,n/a,2,1,3,n/a,2,n/a,1,n/a,n/a,n/a,n/a
insist,n/a,n/a,3,n/a,3,1,n/a,1,n/a,1,n/a,1,n/a,n/a,n/a,n/a
recognize,4,10,n/a,3,n/a,4,n/a,n/a,1,1,n/a,n/a,n/a,n/a,n/a,n/a
tell,n/a,17,n/a,39,4,174,n/a,133,2,161,n/a,43,n/a,7,n/a,51
explain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a,n/a,n/a,n/a,n/a,n/a
discover,1,1,1,n/a,1,1,1,2,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a
reveal,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
prove,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
seem,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
acknowledge,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
announce,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a
estimate,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a
demonstrate,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
write,n/a,n/a,1,5,n/a,26,n/a,10,1,10,n/a,2,n/a,1,2,47
mention,n/a,n/a,n/a,n/a,1,1,n/a,2,1,n/a,n/a,n/a,n/a,n/a,1,n/a
imply,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
appear,n/a,1,n/a,n/a,n/a,n/a,n/a,3,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a
confirm,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
imagine,1,1,n/a,n/a,2,14,1,20,n/a,12,n/a,n/a,n/a,n/a,1,1
require,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
suspect,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
worry,n/a,n/a,n/a,1,n/a,8,n/a,8,n/a,9,n/a,2,n/a,n/a,n/a,n/a
forget,n/a,3,1,1,3,15,2,22,2,21,n/a,4,n/a,n/a,n/a,2
expect,n/a,n/a,n/a,1,1,13,n/a,1,n/a,1,n/a,2,n/a,n/a,n/a,1
demand,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a
determine,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1
recommend,n/a,1,n/a,1,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a
complain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a
assert,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
declare,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
fear,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
predict,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
warn,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a
deny,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a
ask,n/a,2,n/a,11,n/a,29,n/a,13,1,27,n/a,6,n/a,n/a,n/a,9
accept,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,2,n/a,n/a,n/a,n/a,n/a,n/a
doubt,n/a,1,n/a,n/a,2,2,1,1,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a
observe,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a
contend,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
consider,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a
maintain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
guess,4,61,1,62,9,99,1,83,n/a,62,1,10,n/a,1,n/a,17
read,3,25,2,23,2,50,4,21,1,26,n/a,10,n/a,1,2,25
wish,1,11,n/a,16,3,67,1,46,n/a,51,n/a,10,n/a,3,n/a,6
rule,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1
emphasize,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
propose,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
pretend,n/a,6,n/a,4,1,17,1,10,n/a,12,n/a,n/a,n/a,n/a,n/a,n/a
use,n/a,5,n/a,14,10,34,3,25,3,20,n/a,7,n/a,n/a,n/a,4
love,1,18,n/a,7,n/a,41,1,13,3,11,n/a,1,n/a,n/a,n/a,3
recall,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
pray,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a
suppose,n/a,4,1,5,2,65,n/a,24,n/a,31,1,2,n/a,1,n/a,4
allege,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
testify,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
figure,n/a,5,n/a,7,n/a,3,n/a,2,1,9,1,5,n/a,n/a,2,1
concede,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
stress,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
speculate,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
guarantee,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a
call,n/a,8,2,9,3,44,n/a,35,2,59,n/a,39,n/a,1,n/a,11
convince,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
promise,n/a,n/a,n/a,n/a,2,6,n/a,11,n/a,11,n/a,n/a,n/a,n/a,n/a,2
assure,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
teach,n/a,n/a,n/a,n/a,n/a,2,n/a,1,n/a,4,n/a,3,n/a,n/a,n/a,1
want,11,97,19,317,34,684,8,373,9,257,1,28,n/a,6,1,26
