 ,group3 overt, group3 null, group4 overt, group4 null, group5 overt, group5 null, group6 overt, group6 null, group7 overt, group7 null, group8 overt, group8 null, group9 overt, group9 null, group10 overt, group10 null, group11 overt, group11 null, group12 overt, group12 null, group13 overt, group13 null, 
say,n/a,n/a,n/a,2,4,43,6,98,7,150,4,132,8,149,14,163,26,241,8,102,10,44
know,n/a,n/a,n/a,2,1,13,4,44,2,42,3,34,1,11,1,4,1,3,2,n/a,1,1
think,n/a,n/a,n/a,3,2,48,1,117,7,200,9,87,1,29,10,37,3,33,2,15,3,9
believe,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,1
suggest,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
find,n/a,n/a,n/a,n/a,1,8,n/a,5,2,5,1,2,n/a,1,n/a,3,n/a,2,n/a,4,1,n/a
show,n/a,n/a,n/a,n/a,n/a,3,n/a,7,n/a,3,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,2,n/a,n/a
mean,n/a,n/a,n/a,n/a,n/a,1,n/a,17,n/a,45,n/a,12,n/a,3,n/a,2,n/a,2,n/a,n/a,n/a,2
see,n/a,n/a,n/a,4,n/a,47,3,67,2,122,3,28,n/a,16,3,23,1,26,1,23,4,4
realize,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,1,n/a,n/a,2,2,n/a,5,5,1,1,7,2
note,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
argue,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
indicate,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
feel,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a,3,n/a,1,n/a,n/a,n/a,n/a,n/a,1,n/a,1,n/a,n/a
understand,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,1
